SM编号,长度,SMSDRIW,SMSDRIN,SMSDRIE,SMSDRIS,用户编号,SMTOPOERROR,几何大小,名称,描述,图片,音频,视频,长度,数据集名称,对象编号,排序ID,纬度,经度,高程,东坐标,北坐标,高度,HDOP,VDOP,PDOP,HRMS,VRMS,时间,方向,速度,卫星数,卫星状态
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,0,34.83352333333333,113.54715833333333,104.2,-90704.86394216225,3875237.637629816,-4.680255426093936,0.95,0.84,1.27,0.0,0.0,2022/05/19 14:15:11,184.22,0.0,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,1,34.83352333333333,113.54715833333333,104.2,-90704.86394216225,3875237.637629816,-4.680255426093936,0.95,0.84,1.27,0.0,0.0,2022/05/19 14:15:14,184.22,0.0,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,2,34.83353666666667,113.54715333333333,102.1,-90705.22654952644,3875239.149707756,-6.780256016179919,0.95,0.84,1.27,0.0,0.0,2022/05/19 14:15:17,258.28,1.016178,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,3,34.833531666666666,113.547115,102.1,-90708.77673441858,3875238.8208259614,-6.7802557945251465,0.95,0.84,1.27,0.0,0.0,2022/05/19 14:15:20,261.3,1.165752,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,4,34.83352333333333,113.54707,102.4,-90712.96204132901,3875238.1608154587,-6.4802554259076715,0.95,0.84,1.27,0.0,0.0,2022/05/19 14:15:23,262.67,1.300934,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,5,34.83352333333333,113.54702666666667,102.7,-90716.93469389959,3875238.417475692,-6.1802554270252585,0.91,0.78,1.2,0.0,0.0,2022/05/19 14:15:26,274.27,1.242338,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,6,34.833533333333335,113.54698833333333,102.9,-90720.37712998723,3875239.756371321,-5.980255867354572,0.91,0.78,1.2,0.0,0.0,2022/05/19 14:15:29,286.76,1.1349120000000001,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,7,34.83353833333334,113.54695166666667,103.1,-90723.70268799644,3875240.529472362,-5.7802560878917575,0.91,0.78,1.2,0.0,0.0,2022/05/19 14:15:32,275.27,1.175518,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,8,34.83353666666667,113.54691333333334,103.2,-90727.22892961837,3875240.5712139453,-5.6802560137584805,0.91,0.78,1.2,0.0,0.0,2022/05/19 14:15:35,262.1,1.119492,0,1
1,121.0441627877243,-90821.76,3875246.5,-90704.87,3875237.8,0,0,584,钟楼广场南侧到25号楼南门,0,,,,121.044米,线,1,9,34.83354166666667,113.54687,103.2,-90731.16566449695,3875241.383804766,-5.680256236344576,0.91,0.78,1.2,0.0,0.0,2022/05/19 14:15:38,273.25,1.30299,0,1
